,host_total_listings_count,room_type_1,room_type_2,room_type_3,room_type_4,room_type_-1,accommodates,bathrooms,bedrooms,bed_type_1,bed_type_2,bed_type_3,bed_type_4,price,guests_included,minimum_nights,maximum_nights,availability_365,number_of_reviews
5456,2.0,1,0,0,0,0,7,1.0,2.0,1,0,0,0,105,4,1,31,140,9
199,1.0,1,0,0,0,0,12,3.0,3.0,1,0,0,0,329,8,2,1125,346,57
7463,14.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,141,1,1,548,91,12
7537,17.0,1,0,0,0,0,3,2.0,1.0,1,0,0,0,89,1,1,1125,338,186
2491,1.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,56,1,2,7,0,5
1983,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,399,1,2,4,0,1
6941,6.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,83,2,2,1125,0,3
1067,1.0,1,0,0,0,0,5,2.0,2.0,1,0,0,0,799,1,1,1125,0,0
1043,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,41,1,1,1125,0,3
6062,3.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,350,1,1,5,0,0
4028,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,43,2,1,3,0,11
7373,12.0,1,0,0,0,0,16,4.0,8.0,1,0,0,0,399,1,1,1125,129,14
2217,1.0,1,0,0,0,0,6,2.0,2.0,1,0,0,0,150,1,2,30,48,12
1797,1.0,0,0,0,1,0,1,1.0,1.0,1,0,0,0,52,1,7,1125,0,2
5986,3.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,35,1,30,270,294,20
72,1.0,0,0,0,1,0,1,2.0,1.0,1,0,0,0,35,1,2,90,179,4
2791,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,43,2,2,1125,162,8
8578,6.0,0,0,0,1,0,6,2.0,1.0,1,0,0,0,50,2,2,365,356,27
7602,20.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,110,1,2,6,332,229
6542,4.0,1,0,0,0,0,5,1.0,1.0,1,0,0,0,92,3,1,30,140,82
2008,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,425,2,2,28,62,0
1105,1.0,1,0,0,0,0,5,1.0,1.0,1,0,0,0,101,4,2,31,48,34
867,1.0,1,0,0,0,0,5,3.0,3.0,1,0,0,0,279,1,3,21,131,49
3117,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,85,1,1,1125,0,0
2895,1.0,1,0,0,0,0,8,2.0,2.0,1,0,0,0,1000,1,1,1125,0,0
2610,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,61,1,30,1125,194,1
1365,1.0,1,0,0,0,0,2,1.0,1.0,1,0,0,0,104,1,1,6,75,99
845,1.0,1,0,0,0,0,8,3.0,4.0,1,0,0,0,400,1,2,30,359,15
7287,10.0,1,0,0,0,0,16,2.0,5.0,1,0,0,0,575,6,1,30,343,13
1282,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,70,1,7,90,0,0
6371,3.0,1,0,0,0,0,10,3.0,3.0,1,0,0,0,499,8,2,365,341,6
4215,1.0,0,0,0,1,0,6,1.0,1.0,1,0,0,0,40,2,1,9,340,4
1715,1.0,1,0,0,0,0,4,1.0,0.0,1,0,0,0,400,2,4,1125,0,0
3738,1.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,150,1,1,1125,178,0
496,1.0,1,0,0,0,0,6,2.0,3.0,1,0,0,0,80,6,3,15,153,8
5422,2.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,58,2,2,21,0,8
2356,1.0,1,0,0,0,0,10,2.0,3.0,1,0,0,0,589,2,3,30,0,6
84,1.0,1,0,0,0,0,6,2.0,3.0,1,0,0,0,385,1,3,1125,0,2
6762,5.0,0,0,0,1,0,2,1.0,1.0,1,0,0,0,70,2,1,45,47,19
4729,2.0,1,0,0,0,0,9,2.0,2.0,1,0,0,0,200,4,2,5,0,2
4607,2.0,1,0,0,0,0,6,2.0,2.0,1,0,0,0,500,1,3,1125,0,4
6781,5.0,1,0,0,0,0,4,1.0,1.0,1,0,0,0,95,2,2,60,307,201
800,1.0,1,0,0,0,0,6,1.0,2.0,1,0,0,0,150,1,2,1125,0,37
8569,1.0,1,0,0,0,0,3,1.0,1.0,1,0,0,0,198,1,2,1125,344,0
